Application	N	init	C1	C2	r	c	arch_desc	maxiter	skip	oslimit	II	Iter	time
edn	6	100	2	2	3	3	stdnoc_3x3tiles_4x4PEs.json	60	NO	0			
edn	7	100	2	2	3	3	stdnoc_3x3tiles_4x4PEs.json	60	NO	0			
edn	8	100	2	2	3	3	stdnoc_3x3tiles_4x4PEs.json	60	NO	0			
edn	9	100	2	2	3	3	stdnoc_3x3tiles_4x4PEs.json	60	NO	0			
edn	10	100	2	2	3	3	stdnoc_3x3tiles_4x4PEs.json	60	NO	0			
edn	6	100	2	2	3	3	stdnoc_3x3tiles_4x4PEs.json	60	NO	1			
edn	7	100	2	2	3	3	stdnoc_3x3tiles_4x4PEs.json	60	NO	1			
edn	8	100	2	2	3	3	stdnoc_3x3tiles_4x4PEs.json	60	NO	1			
edn	9	100	2	2	3	3	stdnoc_3x3tiles_4x4PEs.json	60	NO	1			
edn	10	100	2	2	3	3	stdnoc_3x3tiles_4x4PEs.json	60	NO	1			
edn	6	100	2	2	3	3	stdnoc_3x3tiles_3x3PEs_REGF8.json	60	NO	1	4	10	14407
edn	7	100	2	2	3	3	stdnoc_3x3tiles_3x3PEs_REGF8.json	60	NO	1			
edn	8	100	2	2	3	3	stdnoc_3x3tiles_3x3PEs_REGF8.json	60	NO	1	4	3	2627
edn	9	100	2	2	3	3	stdnoc_3x3tiles_3x3PEs_REGF8.json	60	NO	1	4	11	7742
edn	10	100	2	2	3	3	stdnoc_3x3tiles_3x3PEs_REGF8.json	60	NO	1	4	18	16407
edn	6	100	2	2	3	3	stdnoc_3x3tiles_4x4PEs.json	60	INTER	1	3	2	3302
edn	7	100	2	2	3	3	stdnoc_3x3tiles_4x4PEs.json	60	INTER	1	3	2	10509
edn	8	100	2	2	3	3	stdnoc_3x3tiles_4x4PEs.json	60	INTER	1	3	5	3086
edn	9	100	2	2	3	3	stdnoc_3x3tiles_4x4PEs.json	60	INTER	1	3	10	4071
edn	10	100	2	2	3	3	stdnoc_3x3tiles_4x4PEs.json	60	INTER	1	3	4	3358
edn	6	100	2	2	3	3	stdnoc_3x3tiles_4x4PEs.json	60	INTRA	1	2	1	1189
edn	7	100	2	2	3	3	stdnoc_3x3tiles_4x4PEs.json	60	INTRA	1	3	0	1326
edn	8	100	2	2	3	3	stdnoc_3x3tiles_4x4PEs.json	60	INTRA	1	3	0	267
edn	9	100	2	2	3	3	stdnoc_3x3tiles_4x4PEs.json	60	INTRA	1	2	1	218
edn	10	100	2	2	3	3	stdnoc_3x3tiles_4x4PEs.json	60	INTRA	1	3	0	265
edn	6	50	2	2	3	3	stdnoc_3x3tiles_4x4PEs.json	60	NO	1			
edn	7	50	2	2	3	3	stdnoc_3x3tiles_4x4PEs.json	60	NO	1	3	22	28455
edn	8	200	2	2	3	3	stdnoc_3x3tiles_4x4PEs.json	60	NO	1			
edn	9	200	2	2	3	3	stdnoc_3x3tiles_4x4PEs.json	60	NO	1			
edn	10	200	2	2	3	3	stdnoc_3x3tiles_4x4PEs.json	60	NO	1			

